,country,continent,latitude,longitude,rural_population,urban_population
0,Afghanistan,Asia,33.0,65.0,30181937,10946834
1,Albania,Europe,41.0,20.0,1004807,1770827
2,Algeria,Africa,28.0,3.0,11328186,33575039
3,Andorra,Europe,42.5,1.5,9730,70094
4,Angola,Africa,-12.5,18.5,11359649,24229338
5,Antigua and Barbuda,Americas,17.05,-61.8,70935,22828
6,Argentina,Americas,-34.0,-64.0,3538352,42696478
7,Armenia,Asia,40.0,45.0,1012841,1767628
8,Australia,Oceania,-27.0,133.0,3510274,22468661
9,Austria,Europe,47.33333333,13.33333333,3684288,5358240
10,Azerbaijan,Asia,40.5,47.5,4357959,5817057
11,Bahrain,Asia,26.0,50.55,151007,1321226
12,Bangladesh,Asia,24.0,90.0,103206552,67979820
13,Barbados,Americas,13.16666666,-59.53333333,193416,88219
14,Belarus,Europe,53.0,28.0,1811720,7396981
15,Belgium,Europe,50.83333333,4.0,215535,11453911
16,Belize,Americas,17.25,-88.75,217242,188030
17,Benin,Africa,9.5,2.25,6738656,6614208
18,Bhutan,Asia,27.5,90.5,440632,341823
19,Bolivia,Americas,-17.0,-65.0,3565773,8658337
20,Bosnia and Herzegovina,Europe,44.0,18.0,1621904,1611622
21,Botswana,Africa,-22.0,24.0,730591,1899705
22,Brazil,Americas,-10.0,-55.0,26795765,188517733
23,Brunei,Asia,4.5,114.66666666,94946,354056
24,Bulgaria,Europe,43.0,25.0,1528155,4936942
25,Burkina Faso,Africa,13.0,-2.0,15446047,7227715
26,Burundi,Africa,-3.5,30.0,11031286,1858290
27,Cabo Verde,Africa,16.0,-24.0,192507,400642
28,Cambodia,Asia,13.0,105.0,12556766,4211076
29,Cameroon,Africa,6.0,12.0,11519492,16395044
30,Canada,Americas,60.0,-95.0,7103929,31825973
31,Central African Republic,Africa,7.0,21.0,3173417,2405727
32,Chad,Africa,15.0,19.0,13458554,4264761
33,Chile,Americas,-30.0,-71.0,2369699,17234034
34,China,Asia,35.0,105.0,514596570,897578430
35,Colombia,Americas,4.0,-72.0,9311387,42562637
36,Comoros,Africa,-12.16666666,44.25,586880,249894
37,Congo,Africa,-1.0,15.0,1866593,4103831
38,Costa Rica,Americas,10.0,-84.0,930373,4250456
39,Côte d'Ivoire,Africa,8.0,-5.0,13330919,14829623
40,Croatia,Europe,45.16666666,15.5,1610240,2243760
41,Cuba,Americas,21.5,-80.0,2533843,8678348
42,Cyprus,Europe,35.0,33.0,414105,837383
43,Czech Republic,Europe,49.75,15.5,2697096,7828977
44,Dem. People's Rep. Korea,Asia,40.0,127.0,9667582,16401834
45,Dem. Rep. Congo,Africa,0.0,25.0,52636799,46373413
46,Denmark,Europe,56.0,10.0,686700,5216337
47,Djibouti,Africa,11.5,43.0,242328,878521
48,Dominica,Americas,15.41666666,-61.33333333,20585,52152
49,Dominican Republic,Americas,19.0,-70.66666666,1813679,9415142
50,Ecuador,Americas,-2.0,-77.5,6377754,11623246
51,Egypt,Africa,27.0,30.0,63300985,47689118
52,El Salvador,Americas,13.83333333,-88.91666666,1598862,4737530
53,Equatorial Guinea,Africa,2.0,10.0,435309,1239599
54,Eritrea,Africa,15.0,39.0,2113713,1570319
55,Estonia,Europe,59.0,26.0,408688,936080
56,Eswatini,Africa,-26.5,31.5,906348,295322
57,Ethiopia,Africa,8.0,38.0,95420799,27959125
58,Fiji,Oceania,-18.0,175.0,388373,541393
59,Finland,Europe,64.0,26.0,795690,4761190
60,France,Europe,46.0,2.0,12561983,55373677
61,Gabon,Africa,-1.0,11.75,221340,2167652
62,Georgia,Asia,42.0,43.5,1473975,2238527
63,Germany,Europe,51.0,9.0,18793519,65286292
64,Ghana,Africa,8.0,-2.0,13853989,19621881
65,Greece,Europe,39.0,22.0,2075584,8490947
66,Grenada,Americas,12.11666666,-61.66666666,79192,46246
67,Guatemala,Americas,15.5,-90.25,8216182,9141704
68,Guinea,Africa,11.0,-10.0,8638804,5220537
69,Guinea-Bissau,Africa,12.0,-15.0,1157198,948368
70,Guyana,Americas,5.0,-59.0,590192,218534
71,Haiti,Americas,19.0,-72.41666666,4770701,6814295
72,Honduras,Americas,15.0,-86.5,4214875,6217985
73,Hungary,Europe,47.0,20.0,2657928,7025577
74,Iceland,Europe,65.0,-18.0,22945,358955
75,India,Asia,20.0,77.0,908804812,508368361
76,Indonesia,Asia,-5.0,120.0,115892393,159608946
77,Iran,Asia,32.0,53.0,20537534,68013036
78,Iraq,Asia,33.0,44.0,12746359,31749763
79,Ireland,Europe,53.0,-8.0,1822006,3264982
80,Israel,Asia,31.5,34.75,691177,8859423
81,Italy,Europe,42.83333333,12.83333333,16681796,42175051
82,Jamaica,Americas,18.25,-77.5,1215546,1611831
83,Japan,Asia,36.0,138.0,10066305,115058684
84,Jordan,Asia,31.0,36.0,922394,10363475
85,Kazakhstan,Asia,48.0,68.0,8243190,11378782
86,Kenya,Africa,1.0,38.0,38358435,15669052
87,Kiribati,Oceania,1.41666666,173.0,56354,74878
88,Korea,Asia,37.0,127.5,9588890,42039227
89,Kuwait,Asia,29.5,45.75,0,4268873
90,Kyrgyz Republic,Asia,41.0,75.0,4254716,2548584
91,Lao PDR,Asia,18.0,105.0,4698995,2830480
92,Latvia,Europe,57.0,25.0,592511,1290868
93,Lebanon,Asia,33.83333333,35.83333333,589488,4900251
94,Lesotho,Africa,-29.5,28.5,1615392,690433
95,Liberia,Africa,6.5,-9.5,2488813,2813868
96,Libya,Africa,25.0,17.0,1273772,5538569
97,Liechtenstein,Europe,47.26666666,9.53333333,33610,5717
98,Lithuania,Europe,56.0,24.0,893387,1939613
99,Luxembourg,Europe,49.75,6.16666666,52836,597938
100,Madagascar,Africa,-20.0,47.0,17801970,11809744
101,Malawi,Africa,-13.5,34.0,16736441,3668876
102,Malaysia,Asia,2.5,112.5,7393781,26544440
103,Maldives,Asia,3.25,73.0,306227,217560
104,Mali,Africa,17.0,-4.0,12327741,10265849
105,Malta,Europe,35.83333333,14.58333333,26825,496592
106,Marshall Islands,Oceania,9.0,168.0,8929,32640
107,Mauritania,Africa,20.0,-12.0,2040187,2695952
108,Mauritius,Africa,-20.28333333,57.55,747287,515236
109,Mexico,Americas,23.0,-102.0,23843271,103660854
110,Micronesia,Oceania,6.91666666,158.25,87659,26505
111,Moldova,Europe,47.0,29.0,1473227,1119250
112,Monaco,Europe,43.73333333,7.4,0,36469
113,Mongolia,Asia,46.0,105.0,1055872,2342494
114,Montenegro,Europe,42.5,19.3,196160,419999
115,Morocco,Africa,32.0,-5.0,13261620,24196351
116,Mozambique,Africa,-18.25,35.0,20379448,12590070
117,Myanmar,Asia,22.0,98.0,36965999,17213307
118,Namibia,Africa,-22.0,17.0,1181955,1385057
119,Nauru,Oceania,-0.53333333,166.91666666,0,12668
120,Nepal,Asia,28.0,84.0,23994819,6552761
121,Netherlands,Europe,52.5,5.75,1259398,16443692
122,New Zealand,Oceania,-41.0,174.0,672077,4452023
123,Nicaragua,Americas,13.0,-85.0,2810208,4138184
124,Niger,Africa,16.0,8.0,21780401,4427576
125,Nigeria,Africa,10.0,8.0,101575770,116965442
126,North Macedonia,Europe,41.83333333,22.0,841220,1216459
127,Norway,Europe,62.0,10.0,891476,4565651
128,Oman,Asia,21.0,57.0,560597,4015701
129,Pakistan,Asia,30.0,70.0,146845783,88979079
130,Palau,Oceania,7.5,134.5,3258,14797
131,Panama,Americas,9.0,-80.0,1360444,3048137
132,Papua New Guinea,Oceania,-6.0,147.0,8765048,1377571
133,Paraguay,Americas,-23.0,-58.0,2521216,4259528
134,Peru,Americas,-10.0,-76.0,7249838,26799750
135,Philippines,Asia,13.0,122.0,60117263,55441746
136,Poland,Europe,52.0,20.0,14974307,22587292
137,Portugal,Europe,39.5,-8.0,3385528,6993479
138,Qatar,Asia,25.5,51.25,18381,2676741
139,Romania,Europe,46.0,25.0,8627368,10329298
140,Russia,Europe,60.0,100.0,35708054,107847682
141,Rwanda,Africa,-2.0,30.0,11335329,2441369
142,Samoa,Oceania,-13.58333333,-172.33333333,183207,39175
143,San Marino,Europe,43.76666666,12.41666666,763,32897
144,São Tomé and Principe,Africa,1.0,7.0,55128,172252
145,Saudi Arabia,Asia,25.0,45.0,5559991,30848829
146,Senegal,Africa,14.0,-14.0,8816497,8499952
147,Serbia,Europe,44.0,21.0,2915423,3844664
148,Seychelles,Africa,-4.58333333,55.66666666,41629,58431
149,Sierra Leone,Africa,8.5,-11.5,4833746,3771972
150,Singapore,Asia,1.36666666,103.8,0,5637022
151,Slovak Republic,Europe,48.66666666,19.5,2503549,2928203
152,Slovenia,Europe,46.11666666,14.81666666,933093,1175639
153,Solomon Islands,Oceania,-8.0,159.0,538975,185298
154,Somalia,Africa,10.0,49.0,9269665,8327846
155,South Africa,Africa,-29.0,24.0,18965399,40928486
156,South Sudan,Africa,7.0,30.0,8638206,2274958
157,Spain,Europe,40.0,-4.0,8902107,38712927
158,Sri Lanka,Asia,7.0,81.0,17960843,4220157
159,St. Kitts and Nevis,Americas,17.33333333,-62.75,32888,14769
160,St. Lucia,Americas,13.88333333,-60.96666666,145594,34263
161,St. Vincent and the Grenadines,Americas,13.25,-61.2,47946,56002
162,Sudan,Africa,15.0,30.0,30020115,16854089
163,Suriname,Americas,4.0,-56.0,208236,409804
164,Sweden,Europe,62.0,15.0,1206837,9280104
165,Switzerland,Europe,47.0,8.0,2272064,6497677
166,Syrian Arab Republic,Asia,35.0,38.0,9564966,12560283
167,Tajikistan,Asia,39.0,71.0,7169192,2783595
168,Tanzania,Africa,-6.0,35.0,41471864,24025884
169,Thailand,Asia,15.0,100.0,33777188,37919842
170,The Bahamas,Americas,24.25,-76.0,67680,342304
171,The Gambia,Africa,13.46666666,-16.56666666,978162,1727830
172,Timor-Leste,Asia,-8.83333333,125.91666666,911089,430207
173,Togo,Africa,8.0,1.16666666,4962262,3886437
174,Tonga,Oceania,-20.0,-175.0,82147,24711
175,Trinidad and Tobago,Americas,11.0,-61.0,714385,816659
176,Tunisia,Africa,34.0,9.0,3680393,8675724
177,Turkey,Asia,39.0,35.0,19609710,65731531
178,Turkmenistan,Asia,40.0,60.0,2990694,3440076
179,Tuvalu,Oceania,-8.0,178.0,3900,7412
180,Uganda,Africa,1.0,32.0,34889566,12360019
181,Ukraine,Europe,49.0,32.0,11430780,26569220
182,United Arab Emirates,Asia,24.0,54.0,1176081,8265048
183,United Kingdom,Europe,54.0,-2.0,10448880,56522531
184,United States,Americas,38.0,-97.0,56378923,276908634
185,Uruguay,Americas,-33.0,-56.0,147591,3275203
186,Uzbekistan,Asia,41.0,64.0,17657930,17990170
187,Vanuatu,Oceania,-16.0,167.0,242389,84351
188,Venezuela,Americas,8.0,-66.0,3289223,25012473
189,Vietnam,Asia,16.16666666,107.83333333,60123739,38063117
190,West Bank and Gaza,Asia,31.9,35.2,1145354,3898258
191,Yemen,Asia,15.0,48.0,20491585,13205029
192,Zambia,Africa,-15.0,30.0,10857387,9160288
193,Zimbabwe,Africa,-20.0,30.0,11033499,5287038
